From	To
AN30A_HUMAN	ANKRD30A
AN30B_HUMAN	ANKRD30B
AN32A_HUMAN	ANP32A
AN32B_HUMAN	ANP32B
AN32C_HUMAN	ANP32C
AN32D_HUMAN	ANP32D
AN32E_HUMAN	ANP32E
AN33B_HUMAN	ANKRD33B
AN34A_HUMAN	ANKRD34A
AN34B_HUMAN	ANKRD34B
AN34C_HUMAN	ANKRD34C
AN36A_HUMAN	ANKRD36
AN36B_HUMAN	ANKRD36B
AN36C_HUMAN	ANKRD36C
ANAG_HUMAN	NAGLU
ANC2_HUMAN	ANAPC2
ANCHR_HUMAN	ZFYVE19
ANDR_HUMAN	AR
ANFB_HUMAN	NPPB
